Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
